object	kind	file	rows
biomartGeneInfo	data.frame	biomartGeneInfo.tsv	30945
EnsDB_Hsapiens_v86	data.frame	EnsDB_Hsapiens_v86.tsv	63970
EnsDb_Mmusculus_v79	data.frame	EnsDb_Mmusculus_v79.tsv	43629
geneSet	gmt(list)	geneSet.gmt	12
geneSetMouse	gmt(list)	geneSetMouse.gmt	12
pathwaysH	gmt(list)	pathwaysH.gmt	1604
pathwaysHmouse	gmt(list)	pathwaysHmouse.gmt	1248
reactome_cellcycle	vector	reactome_cellcycle.txt	693
reactome_cellcycle_Mmusculus	vector	reactome_cellcycle_Mmusculus.txt	580
sizeGRCh38	data.frame	sizeGRCh38.tsv	22
sizeGRCm39	data.frame	sizeGRCm39.tsv	19
