seqnames	start	end	width	strand	gene_id	gene_name	gene_biotype	seq_coord_system	symbol	entrezid
1	11869	14409	2541	+	ENSG00000223972	DDX11L1	transcribed_unprocessed_pseudogene	chromosome	DDX11L1	c(100287596, 100287102, 727856, 84771)
1	14404	29570	15167	-	ENSG00000227232	WASH7P	unprocessed_pseudogene	chromosome	WASH7P	NA
1	17369	17436	68	-	ENSG00000278267	MIR6859-1	miRNA	chromosome	MIR6859-1	102466751
1	29554	31109	1556	+	ENSG00000243485	MIR1302-2	lincRNA	chromosome	MIR1302-2	c(105376912, 100302278)
1	34554	36081	1528	-	ENSG00000237613	FAM138A	lincRNA	chromosome	FAM138A	c(654835, 645520, 641702)
1	52473	53312	840	+	ENSG00000268020	OR4G4P	unprocessed_pseudogene	chromosome	OR4G4P	NA
1	62948	63887	940	+	ENSG00000240361	OR4G11P	unprocessed_pseudogene	chromosome	OR4G11P	NA
1	69091	70008	918	+	ENSG00000186092	OR4F5	protein_coding	chromosome	OR4F5	79501
1	89295	133723	44429	-	ENSG00000238009	RP11-34P13.7	lincRNA	chromosome	RP11-34P13.7	NA
1	89551	91105	1555	-	ENSG00000239945	RP11-34P13.8	lincRNA	chromosome	RP11-34P13.8	NA
1	131025	134836	3812	+	ENSG00000233750	CICP27	processed_pseudogene	chromosome	CICP27	NA
1	135141	135895	755	-	ENSG00000268903	RP11-34P13.15	processed_pseudogene	chromosome	RP11-34P13.15	NA
1	137682	137965	284	-	ENSG00000269981	RP11-34P13.16	processed_pseudogene	chromosome	RP11-34P13.16	NA
1	139790	140339	550	-	ENSG00000239906	RP11-34P13.14	antisense	chromosome	RP11-34P13.14	NA
1	141474	173862	32389	-	ENSG00000241860	RP11-34P13.13	processed_transcript	chromosome	RP11-34P13.13	NA
1	157784	157887	104	-	ENSG00000222623	RNU6-1100P	snRNA	chromosome	RNU6-1100P	NA
1	160446	161525	1080	+	ENSG00000241599	RP11-34P13.9	lincRNA	chromosome	RP11-34P13.9	NA
1	182393	184158	1766	+	ENSG00000279928	FO538757.2	protein_coding	chromosome	FO538757.2	c(107984078, 102725121)
1	184923	200322	15400	-	ENSG00000279457	FO538757.1	protein_coding	chromosome	FO538757.1	NA
1	187891	187958	68	-	ENSG00000273874	MIR6859-2	miRNA	chromosome	MIR6859-2	102465909
1	257864	297502	39639	-	ENSG00000228463	AP006222.2	lincRNA	chromosome	AP006222.2	NA
1	258568	259024	457	-	ENSG00000241670	RPL23AP21	processed_pseudogene	chromosome	RPL23AP21	NA
1	347982	348366	385	-	ENSG00000236679	RPL23AP24	processed_pseudogene	chromosome	RPL23AP24	NA
1	357383	359681	2299	-	ENSG00000236743	RP5-857K21.15	lincRNA	chromosome	RP5-857K21.15	NA
1	358857	366052	7196	+	ENSG00000236601	RP4-669L17.2	lincRNA	chromosome	RP4-669L17.2	NA
1	365389	501617	136229	-	ENSG00000237094	RP4-669L17.10	lincRNA	chromosome	RP4-669L17.10	NA
1	439870	440232	363	+	ENSG00000269732	WBP1LP7	processed_pseudogene	chromosome	WBP1LP7	NA
1	450740	451678	939	-	ENSG00000278566	OR4F29	protein_coding	chromosome	OR4F29	c(729759, 81399, 26683)
1	485026	485208	183	-	ENSG00000224813	SEPT14P13	transcribed_unprocessed_pseudogene	chromosome	SEPT14P13	NA
1	487101	489906	2806	+	ENSG00000233653	CICP7	processed_pseudogene	chromosome	CICP7	NA
1	491225	493241	2017	-	ENSG00000250575	RP4-669L17.8	unprocessed_pseudogene	chromosome	RP4-669L17.8	NA
1	516376	516479	104	-	ENSG00000278757	U6	snRNA	chromosome	U6	NA
1	585989	827796	241808	-	ENSG00000230021	RP5-857K21.4	lincRNA	chromosome	RP5-857K21.4	101928626
1	587629	594768	7140	+	ENSG00000235146	RP5-857K21.2	lincRNA	chromosome	RP5-857K21.2	NA
1	629062	629433	372	+	ENSG00000225972	MTND1P23	unprocessed_pseudogene	chromosome	MTND1P23	NA
1	629640	630683	1044	+	ENSG00000225630	MTND2P28	unprocessed_pseudogene	chromosome	MTND2P28	NA
1	631074	632616	1543	+	ENSG00000237973	MTCO1P12	unprocessed_pseudogene	chromosome	MTCO1P12	NA
1	632325	632413	89	-	ENSG00000278791	MIR6723	miRNA	chromosome	MIR6723	102465432
1	632757	633438	682	+	ENSG00000229344	MTCO2P12	unprocessed_pseudogene	chromosome	MTCO2P12	NA
1	633535	633741	207	+	ENSG00000240409	MTATP8P1	unprocessed_pseudogene	chromosome	MTATP8P1	NA
1	633696	634376	681	+	ENSG00000248527	MTATP6P1	unprocessed_pseudogene	chromosome	MTATP6P1	NA
1	634376	634922	547	+	ENSG00000198744	MTCO3P12	unprocessed_pseudogene	chromosome	MTCO3P12	NA
1	674842	675265	424	+	ENSG00000268663	WBP1LP6	processed_pseudogene	chromosome	WBP1LP6	NA
1	685716	686654	939	-	ENSG00000273547	OR4F16	protein_coding	chromosome	OR4F16	c(81399, 26683)
1	720024	720206	183	-	ENSG00000283574	RP11-206L10.17	transcribed_processed_pseudogene	chromosome	RP11-206L10.17	NA
1	722092	724903	2812	+	ENSG00000229376	CICP3	processed_pseudogene	chromosome	CICP3	NA
1	725885	778626	52742	-	ENSG00000228327	RP11-206L10.2	transcribed_unprocessed_pseudogene	chromosome	RP11-206L10.2	NA
1	758233	758336	104	-	ENSG00000223181	RNU6-1199P	snRNA	chromosome	RNU6-1199P	NA
1	760911	761989	1079	+	ENSG00000229905	RP11-206L10.4	antisense	chromosome	RP11-206L10.4	NA
1	778770	810060	31291	+	ENSG00000237491	RP11-206L10.9	lincRNA	chromosome	RP11-206L10.9	NA
1	800879	817712	16834	-	ENSG00000230092	RP11-206L10.8	transcribed_unprocessed_pseudogene	chromosome	RP11-206L10.8	NA
1	817371	819837	2467	+	ENSG00000177757	FAM87B	lincRNA	chromosome	FAM87B	400728
1	825138	859446	34309	+	ENSG00000228794	LINC01128	processed_transcript	chromosome	LINC01128	643837
1	826206	827522	1317	-	ENSG00000225880	LINC00115	lincRNA	chromosome	LINC00115	79854
1	868071	876903	8833	-	ENSG00000230368	FAM41C	lincRNA	chromosome	FAM41C	284593
1	873292	874349	1058	+	ENSG00000234711	TUBB8P11	unprocessed_pseudogene	chromosome	TUBB8P11	NA
1	874529	877234	2706	-	ENSG00000283040	FAM166AP3	transcribed_unprocessed_pseudogene	chromosome	FAM166AP3	NA
