seqnames	start	end	width	strand	gene_id	gene_name	gene_biotype	seq_coord_system	symbol	entrezid
1	3073253	3074322	1070	+	ENSMUSG00000102693	RP23-271O17.1	TEC	chromosome	RP23-271O17.1	NA
1	3102016	3102125	110	+	ENSMUSG00000064842	Gm26206	snRNA	chromosome	Gm26206	NA
1	3205901	3671498	465598	-	ENSMUSG00000051951	Xkr4	protein_coding	chromosome	Xkr4	497097
1	3252757	3253236	480	+	ENSMUSG00000102851	RP23-317L18.1	processed_pseudogene	chromosome	RP23-317L18.1	NA
1	3365731	3368549	2819	-	ENSMUSG00000103377	RP23-317L18.4	TEC	chromosome	RP23-317L18.4	NA
1	3375556	3377788	2233	-	ENSMUSG00000104017	RP23-317L18.3	TEC	chromosome	RP23-317L18.3	NA
1	3464977	3467285	2309	-	ENSMUSG00000103025	RP23-115I1.6	TEC	chromosome	RP23-115I1.6	NA
1	3466587	3513553	46967	+	ENSMUSG00000089699	Gm1992	antisense	chromosome	Gm1992	NA
1	3512451	3514507	2057	-	ENSMUSG00000103201	RP23-115I1.5	TEC	chromosome	RP23-115I1.5	NA
1	3531795	3532720	926	+	ENSMUSG00000103147	RP23-115I1.2	processed_pseudogene	chromosome	RP23-115I1.2	NA
1	3592892	3595903	3012	-	ENSMUSG00000103161	RP23-115I1.3	TEC	chromosome	RP23-115I1.3	NA
1	3647309	3658904	11596	-	ENSMUSG00000102331	RP23-122M2.3	sense_intronic	chromosome	RP23-122M2.3	NA
1	3680155	3681788	1634	+	ENSMUSG00000102348	RP23-122M2.2	TEC	chromosome	RP23-122M2.2	NA
1	3752010	3754360	2351	+	ENSMUSG00000102592	RP23-122M2.1	TEC	chromosome	RP23-122M2.1	NA
1	3783876	3783933	58	-	ENSMUSG00000088333	Gm27396	snRNA	chromosome	Gm27396	NA
1	3905739	3986215	80477	-	ENSMUSG00000102343	RP23-333I7.1	lincRNA	chromosome	RP23-333I7.1	NA
1	4256234	4260519	4286	-	ENSMUSG00000102948	RP23-177A20.1	processed_pseudogene	chromosome	RP23-177A20.1	NA
1	4290846	4409241	118396	-	ENSMUSG00000025900	Rp1	protein_coding	chromosome	Rp1	19888
1	4363346	4364829	1484	-	ENSMUSG00000104123	RP23-391E12.2	TEC	chromosome	RP23-391E12.2	NA
1	4490931	4497354	6424	-	ENSMUSG00000025902	Sox17	protein_coding	chromosome	Sox17	20671
1	4496551	4499558	3008	+	ENSMUSG00000104238	RP23-285G23.2	processed_transcript	chromosome	RP23-285G23.2	NA
1	4522905	4526737	3833	+	ENSMUSG00000102269	RP23-285G23.3	processed_pseudogene	chromosome	RP23-285G23.3	NA
1	4529017	4529123	107	+	ENSMUSG00000096126	Gm22307	snRNA	chromosome	Gm22307	NA
1	4534837	4535286	450	-	ENSMUSG00000103003	RP23-285G23.4	processed_pseudogene	chromosome	RP23-285G23.4	NA
1	4583129	4586252	3124	-	ENSMUSG00000104328	RP23-37D15.1	lincRNA	chromosome	RP23-37D15.1	NA
1	4610471	4611406	936	+	ENSMUSG00000102735	RP23-37D15.2	processed_pseudogene	chromosome	RP23-37D15.2	NA
1	4687934	4689403	1470	-	ENSMUSG00000098104	Gm6085	processed_pseudogene	chromosome	Gm6085	NA
1	4692219	4693424	1206	-	ENSMUSG00000102175	RP23-34E15.2	processed_pseudogene	chromosome	RP23-34E15.2	NA
1	4723277	4723379	103	-	ENSMUSG00000088000	Gm25493	snRNA	chromosome	Gm25493	NA
1	4735046	4735676	631	-	ENSMUSG00000103265	RP23-34E15.3	processed_pseudogene	chromosome	RP23-34E15.3	NA
1	4771131	4772199	1069	+	ENSMUSG00000103922	RP23-34E15.4	processed_pseudogene	chromosome	RP23-34E15.4	NA
1	4773206	4785739	12534	-	ENSMUSG00000033845	Mrpl15	protein_coding	chromosome	Mrpl15	27395
1	4778063	4779212	1150	-	ENSMUSG00000102275	RP23-34E15.5	TEC	chromosome	RP23-34E15.5	NA
1	4807788	4848410	40623	+	ENSMUSG00000025903	Lypla1	protein_coding	chromosome	Lypla1	18777
1	4807892	4886770	78879	+	ENSMUSG00000104217	RP24-426M1.3	protein_coding	chromosome	RP24-426M1.3	NA
1	4857814	4897909	40096	+	ENSMUSG00000033813	Tcea1	protein_coding	chromosome	Tcea1	21399
1	4880049	4880651	603	-	ENSMUSG00000062588	Gm6104	processed_pseudogene	chromosome	Gm6104	NA
1	4905751	4906861	1111	-	ENSMUSG00000103280	RP24-426M1.4	TEC	chromosome	RP24-426M1.4	NA
1	4909576	5070285	160710	-	ENSMUSG00000002459	Rgs20	protein_coding	chromosome	Rgs20	NA
1	4927028	4927299	272	-	ENSMUSG00000091305	Gm17100	processed_pseudogene	chromosome	Gm17100	NA
1	4938576	4940710	2135	-	ENSMUSG00000102653	RP24-141F9.2	TEC	chromosome	RP24-141F9.2	NA
1	4970857	4976820	5964	+	ENSMUSG00000085623	Gm16041	antisense	chromosome	Gm16041	NA
1	5063060	5064647	1588	+	ENSMUSG00000091665	Gm17101	processed_pseudogene	chromosome	Gm17101	NA
1	5070018	5162529	92512	+	ENSMUSG00000033793	Atp6v1h	protein_coding	chromosome	Atp6v1h	108664
1	5276106	5277337	1232	-	ENSMUSG00000104352	RP23-267J18.2	processed_pseudogene	chromosome	RP23-267J18.2	NA
1	5307739	5310017	2279	+	ENSMUSG00000104046	RP23-267J18.1	TEC	chromosome	RP23-267J18.1	NA
1	5403547	5405578	2032	+	ENSMUSG00000102907	RP23-335P21.1	TEC	chromosome	RP23-335P21.1	NA
1	5588466	5606131	17666	+	ENSMUSG00000025905	Oprk1	protein_coding	chromosome	Oprk1	18387
1	5617837	5618230	394	-	ENSMUSG00000103936	RP23-238E7.2	processed_pseudogene	chromosome	RP23-238E7.2	NA
1	5644645	5644745	101	-	ENSMUSG00000093015	Gm22463	miRNA	chromosome	Gm22463	NA
1	5842874	5844672	1799	-	ENSMUSG00000103519	RP23-354J2.1	TEC	chromosome	RP23-354J2.1	NA
1	5913707	5917398	3692	-	ENSMUSG00000033774	Npbwr1	protein_coding	chromosome	Npbwr1	226304
1	6048963	6050045	1083	-	ENSMUSG00000103090	RP23-74E8.1	processed_pseudogene	chromosome	RP23-74E8.1	NA
1	6206197	6276648	70452	+	ENSMUSG00000025907	Rb1cc1	protein_coding	chromosome	Rb1cc1	12421
1	6209866	6215293	5428	-	ENSMUSG00000090031	4732440D04Rik	antisense	chromosome	4732440D04Rik	NA
1	6359218	6394731	35514	+	ENSMUSG00000087247	Fam150a	protein_coding	chromosome	Fam150a	620393
1	6380394	6381032	639	+	ENSMUSG00000103355	RP23-76C20.3	processed_pseudogene	chromosome	RP23-76C20.3	NA
1	6382634	6383106	473	-	ENSMUSG00000102706	RP23-76C20.2	processed_pseudogene	chromosome	RP23-76C20.2	NA
1	6429655	6441296	11642	-	ENSMUSG00000103845	RP23-76C20.4	processed_pseudogene	chromosome	RP23-76C20.4	NA
1	6487231	6860940	373710	+	ENSMUSG00000033740	St18	protein_coding	chromosome	St18	NA
1	6861237	6864151	2915	+	ENSMUSG00000103329	RP23-299N6.2	TEC	chromosome	RP23-299N6.2	NA
1	6910560	6911222	663	+	ENSMUSG00000104385	RP23-299N6.1	processed_pseudogene	chromosome	RP23-299N6.1	NA
1	6916559	6923588	7030	+	ENSMUSG00000102135	RP23-5K7.4	processed_pseudogene	chromosome	RP23-5K7.4	NA
1	6929759	6929788	30	+	ENSMUSG00000103282	RP23-76C20.5	processed_pseudogene	chromosome	RP23-76C20.5	NA
1	6998217	6998541	325	+	ENSMUSG00000102534	RP23-5K7.3	processed_pseudogene	chromosome	RP23-5K7.3	NA
1	7013762	7013920	159	+	ENSMUSG00000102213	RP23-5K7.2	processed_pseudogene	chromosome	RP23-5K7.2	NA
1	7035915	7037217	1303	+	ENSMUSG00000103629	RP23-5K7.1	processed_pseudogene	chromosome	RP23-5K7.1	NA
1	7088920	7173628	84709	+	ENSMUSG00000051285	Pcmtd1	protein_coding	chromosome	Pcmtd1	319263
1	7136199	7136586	388	-	ENSMUSG00000098201	Gm26983	processed_pseudogene	chromosome	Gm26983	NA
1	7148110	7152137	4028	+	ENSMUSG00000103509	WI1-817D1.2	TEC	chromosome	WI1-817D1.2	NA
1	7177739	7179037	1299	+	ENSMUSG00000048538	Gm9826	processed_pseudogene	chromosome	Gm9826	NA
1	7189742	7189919	178	-	ENSMUSG00000103709	Nras-ps2	processed_pseudogene	chromosome	Nras-ps2	NA
1	7265803	7265932	130	+	ENSMUSG00000077244	Gm23274	snoRNA	chromosome	Gm23274	NA
1	7315451	7316462	1012	+	ENSMUSG00000102768	RP23-278C19.1	processed_pseudogene	chromosome	RP23-278C19.1	NA
1	7349406	7397869	48464	-	ENSMUSG00000097797	Gm26901	lincRNA	chromosome	Gm26901	NA
1	7410679	7411993	1315	+	ENSMUSG00000103498	RP24-263A16.2	processed_pseudogene	chromosome	RP24-263A16.2	NA
1	7497968	7518149	20182	+	ENSMUSG00000103067	RP24-181G14.2	lincRNA	chromosome	RP24-181G14.2	NA
1	7591646	7591931	286	+	ENSMUSG00000102320	RP24-181G14.1	processed_pseudogene	chromosome	RP24-181G14.1	NA
1	7597379	7599473	2095	+	ENSMUSG00000104226	RP23-404K2.2	processed_pseudogene	chromosome	RP23-404K2.2	NA
1	7664081	7664961	881	+	ENSMUSG00000103903	RP23-404K2.1	processed_pseudogene	chromosome	RP23-404K2.1	NA
1	7728861	7730565	1705	-	ENSMUSG00000103557	RP23-408B17.1	processed_pseudogene	chromosome	RP23-408B17.1	NA
1	8361475	9299878	938404	-	ENSMUSG00000025909	Sntg1	protein_coding	chromosome	Sntg1	NA
1	8450960	8453491	2532	-	ENSMUSG00000102647	RP23-241G23.1	TEC	chromosome	RP23-241G23.1	NA
1	8468426	8468825	400	-	ENSMUSG00000086235	Gm16284	processed_pseudogene	chromosome	Gm16284	NA
1	8527780	8531313	3534	-	ENSMUSG00000102253	RP23-311L17.1	TEC	chromosome	RP23-311L17.1	NA
1	8588615	8588724	110	-	ENSMUSG00000093970	Gm23358	miRNA	chromosome	Gm23358	NA
1	8643696	8644859	1164	-	ENSMUSG00000103884	RP24-442E5.1	TEC	chromosome	RP24-442E5.1	NA
1	8791923	8792162	240	-	ENSMUSG00000084353	Gm15452	processed_pseudogene	chromosome	Gm15452	NA
1	8815842	8816039	198	+	ENSMUSG00000103933	RP23-397E23.1	processed_pseudogene	chromosome	RP23-397E23.1	NA
1	8816138	8816247	110	+	ENSMUSG00000076135	Gm24276	miRNA	chromosome	Gm24276	NA
1	8855928	8856267	340	-	ENSMUSG00000086195	Gm6152	processed_pseudogene	chromosome	Gm6152	NA
1	8856763	8857102	340	+	ENSMUSG00000104504	RP23-200C17.1	processed_pseudogene	chromosome	RP23-200C17.1	NA
1	8962996	8963621	626	-	ENSMUSG00000066693	Gm7493	processed_pseudogene	chromosome	Gm7493	NA
1	9191067	9192116	1050	-	ENSMUSG00000102316	RP23-331M15.1	TEC	chromosome	RP23-331M15.1	NA
1	9258617	9259134	518	-	ENSMUSG00000103819	RP23-331M15.2	processed_pseudogene	chromosome	RP23-331M15.2	NA
1	9286922	9290180	3259	+	ENSMUSG00000102871	RP23-411P10.1	TEC	chromosome	RP23-411P10.1	NA
1	9396773	9398687	1915	-	ENSMUSG00000101571	RP23-411P10.5	processed_pseudogene	chromosome	RP23-411P10.5	NA
